,Quote,Author,Main Tag,Other Tags
2235,"“We can not, therefore, reserve as sacred anything that is not truth and yet we cannot turn from things of truth have inspired us in our everyday lives. We must merely embrace both hard and soft truths that must not be avoided. This does not mean we can reserve for ourselves the right to be self-righteous nor call others self-righteous simply because they disagree with us.”","― Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction",truth,"[' inspiration, self-righteousness, truth']"
2236,"“Vulnerable, like all men, to the temptations of arrogance, of which intellectual pride is the worst, he [the scientist] must nevertheless remain sincere and modest, if only because his studies constantly bring home to him that, compared with the gigantic aims of science, his own contribution, no matter how important, is only a drop in the ocean of truth.”","― Louis de Broglie, Nouvelles perspectives en microphysique",truth,"[' aim, arrogance, contribution, modesty, pride, science, scientist, sincerity, temptations, truth, vulnerability']"
2237,“Facts do not fall in the face of discomfort.”,― Stefan Molyneux,truth,"[' abuse, atheism, consciousness, delusion, irrationality, knowledge, philosophy, rational, reality, science, scientific-method, truth']"
2238,"“The truth, the","all moving magic, the",truth,"[' art, inspirational, life, magic, poetry, truth']"
2239,"“We should gather all the good and true principles in the world and treasure them up, or we shall not come out true Mormons.”","― Joseph Smith, Teachings of Presidents of the Church: Joseph Smith",truth,"[' goodness, lds, mormon, mormonism, true, truth']"
2240,“Nothing more inelegant and ineffective than an art conceived in another art's form.”,"― Robert Bresson, Notes on the Cinematographer",truth,"[' art, authenticity, film, integrity, truth']"
2241,"“There's always something in it for the person who is allowing to be taken advantage of."" Psychotherapist David in Type 1 Sociopath”","― P.A. Speers, Type 1 Sociopath - When Difficult People Are More Than Just Difficult People",truth,"[' abuse, abused-recovery, abused-women, codependency, codependent, philosophy, quotes, quotes-on-relationships, recovery-from-abuse, relationships, self-realization, truth, victim, women']"
2242,“Some people would rather be right than free.”,― Vivian Amis,truth,"[' enlightenment, self, spiritual-quotes, truth, wisdom']"
2243,"“Many people require more than just evidence before they’ll accept evolution. To these folks,","evolution raises such profound questions of purpose, morality, and meaning that they just can’t accept it no matter how much evidence they see. It’s not that we evolved from apes that bothers them so much; it’s [[the emotional consequences of facing that fact.]] And unless we address those concerns, we won’t progress in making evolution a universally acknowledged truth.”",truth,"[' evolution, religion, truth']"
2244,"“And since today’s all there is for now, that’s everything.",Who knows if I’ll be dead the day after tomorrow?,truth,"[' beauty, come-what-may, day-after-tomorrow, existence, god, it-is-what-it-is, life, nature, paganism, pantheism, presence, reality, solipsism, thunderstorm, today, truth, universe']"
